image_id,result
1,Leisure
2,Leisure
8,Leisure
10,Leisure
16,Leisure
18,Leisure
20,Leisure
23,Leisure
24,Leisure
25,Leisure
26,Leisure
43,Leisure
45,Leisure
46,Leisure
47,Leisure
48,Leisure
49,Leisure
53,Leisure
54,Leisure
57,Leisure
58,Leisure
59,Leisure
61,Leisure
64,Leisure
65,Leisure
70,Leisure
73,Leisure
74,Leisure
77,Leisure
83,Leisure
86,Leisure
87,Leisure
105,Leisure
106,Leisure
109,Leisure
114,Leisure
115,Leisure
126,Leisure
127,Leisure
129,Leisure
131,Leisure
133,Leisure
138,Leisure
141,Leisure
151,Leisure
153,Leisure
154,Leisure
155,Leisure
156,Leisure
161,Leisure
167,Leisure
171,Leisure
172,Leisure
176,Leisure
178,Leisure
192,Leisure
210,Leisure
220,Leisure
225,Leisure
234,Leisure
235,Leisure
243,Leisure
248,Leisure
252,Work
260,Leisure
264,Leisure
268,Work
274,Leisure
277,Leisure
280,Leisure
284,Leisure
287,Leisure
304,Leisure
305,Leisure
309,Leisure
314,Leisure
319,Leisure
323,Leisure
325,Leisure
326,Leisure
338,Leisure
339,Leisure
341,Leisure
343,Leisure
344,Leisure
345,Leisure
355,Leisure
357,Leisure
360,Leisure
361,Leisure
365,Leisure
367,Leisure
370,Leisure
384,Leisure
386,Leisure
390,Leisure
391,Leisure
393,Leisure
395,Leisure
396,Work
397,Leisure
399,Leisure
400,Leisure
402,Leisure
407,Leisure
408,Leisure
410,Leisure
411,Leisure
415,Leisure
416,Leisure
418,Leisure
419,Leisure
420,Leisure
426,Leisure
427,Leisure
436,Leisure
440,Leisure
441,Leisure
442,Leisure
443,Leisure
447,Leisure
448,Leisure
449,Leisure
450,Leisure
452,Leisure
453,Leisure
455,Leisure
456,Leisure
464,Leisure
465,Leisure
473,Leisure
482,Leisure
483,Leisure
487,Leisure
515,Leisure
569,Leisure
572,Leisure
576,Leisure
580,Leisure
585,Leisure
586,Leisure
587,Leisure
588,Leisure
590,Leisure
591,Leisure
592,Leisure
593,Leisure
594,Leisure
596,Leisure
597,Leisure
598,Leisure
603,Leisure
604,Leisure
608,Leisure
610,Leisure
611,Leisure
615,Leisure
617,Leisure
619,Leisure
620,Leisure
622,Leisure
623,Leisure
624,Leisure
626,Leisure
630,Leisure
631,Leisure
632,Leisure
633,Leisure
635,Leisure
637,Leisure
638,Leisure
639,Leisure
