image_id,result
3,Leisure
7,Leisure
21,Leisure
25,Leisure
29,Leisure
49,Leisure
55,Leisure
58,Leisure
62,Leisure
64,Leisure
70,Leisure
71,Work
72,Leisure
73,Leisure
74,Leisure
86,Leisure
87,Leisure
114,Leisure
115,Leisure
116,Leisure
126,Leisure
127,Leisure
131,Leisure
137,Leisure
141,Leisure
148,Leisure
152,Leisure
160,Leisure
161,Leisure
167,Leisure
168,Leisure
173,Leisure
176,Leisure
178,Leisure
180,Leisure
225,Leisure
235,Leisure
239,Leisure
243,Leisure
246,Leisure
269,Leisure
273,Leisure
292,Leisure
303,Leisure
304,Leisure
305,Leisure
308,Leisure
309,Leisure
314,Leisure
319,Leisure
323,Leisure
325,Leisure
326,Leisure
327,Leisure
339,Leisure
341,Leisure
344,Leisure
346,Leisure
354,Leisure
361,Leisure
362,Leisure
371,Leisure
387,Leisure
391,Leisure
393,Leisure
396,Work
401,Leisure
402,Leisure
410,Leisure
411,Leisure
413,Leisure
414,Leisure
415,Leisure
416,Leisure
417,Leisure
418,Leisure
419,Leisure
421,Leisure
424,Leisure
427,Leisure
430,Leisure
436,Leisure
440,Leisure
441,Leisure
443,Leisure
444,Leisure
446,Leisure
448,Leisure
449,Leisure
458,Leisure
482,Leisure
483,Leisure
484,Leisure
487,Leisure
489,Leisure
578,Leisure
580,Leisure
586,Leisure
587,Leisure
588,Leisure
590,Leisure
591,Leisure
592,Leisure
593,Leisure
594,Leisure
604,Leisure
610,Leisure
611,Leisure
617,Leisure
619,Leisure
621,Leisure
622,Leisure
624,Leisure
628,Leisure
630,Leisure
631,Leisure
633,Leisure
635,Leisure
637,Leisure
638,Leisure
639,Leisure
640,Leisure
671,Leisure
675,Leisure
715,Leisure
721,Leisure
722,Leisure
724,Leisure
732,Leisure
733,Leisure
734,Leisure
735,Leisure
736,Leisure
754,Leisure
767,Leisure
771,Leisure
772,Leisure
775,Leisure
791,Leisure
794,Leisure
795,Leisure
797,Leisure
800,Leisure
818,Leisure
870,Leisure
888,Leisure
904,Leisure
906,Leisure
908,Leisure
928,Leisure
947,Leisure
948,Leisure
951,Leisure
962,Leisure
963,Leisure
964,Leisure
985,Leisure
998,Leisure
1018,Work
1022,Leisure
1027,Leisure
1032,Leisure
1039,Leisure
1041,Leisure
1043,Leisure
1047,Leisure
1048,Leisure
1049,Leisure
1069,Leisure
1077,Leisure
1082,Leisure
1119,Leisure
1121,Leisure
1139,Leisure
1140,Leisure
1147,Leisure
1148,Leisure
1159,Leisure
1160,Leisure
1162,Leisure
1194,Leisure
1210,Leisure
1212,Work
1214,Leisure
1215,Leisure
1231,Leisure
1243,Leisure
1246,Leisure
1247,Leisure
1248,Leisure
1251,Leisure
1254,Leisure
1264,Leisure
1265,Leisure
1292,Leisure
1296,Leisure
1298,Leisure
1321,Leisure
1325,Leisure
1326,Leisure
1327,Leisure
1342,Leisure
1373,Leisure
1375,Leisure
1380,Leisure
1383,Leisure
1384,Leisure
1390,Leisure
1399,Work
1401,Leisure
1418,Leisure
1433,Leisure
1452,Leisure
1455,Leisure
1481,Leisure
1482,Leisure
1500,Leisure
1502,Leisure
1503,Leisure
1507,Leisure
1511,Leisure
1512,Leisure
1530,Leisure
1531,Leisure
1532,Leisure
1538,Leisure
1540,Leisure
1541,Leisure
1543,Leisure
1558,Leisure
1559,Leisure
1561,Leisure
1562,Leisure
1571,Leisure
1583,Leisure
1609,Leisure
1611,Leisure
1613,Leisure
1614,Leisure
1633,Leisure
1635,Leisure
1642,Leisure
1643,Leisure
1649,Leisure
1652,Leisure
1659,Leisure
1689,Leisure
1693,Leisure
1695,Leisure
1696,Leisure
1703,Work
1711,Leisure
1716,Leisure
1720,Leisure
1721,Leisure
1739,Leisure
1740,Leisure
1741,Leisure
1743,Work
1744,Leisure
1745,Leisure
1747,Work
1752,Leisure
1755,Leisure
1759,Leisure
1765,Leisure
1766,Leisure
1769,Leisure
1780,Leisure
1783,Leisure
1786,Leisure
1789,Leisure
1796,Leisure
1797,Leisure
1799,Leisure
1800,Leisure
1810,Leisure
1816,Leisure
1819,Leisure
1820,Leisure
1831,Leisure
1857,Leisure
1859,Leisure
1871,Leisure
1882,Leisure
1885,Leisure
1899,Leisure
1901,Leisure
1902,Leisure
1926,Leisure
1952,Leisure
1955,Leisure
1956,Leisure
1958,Leisure
1971,Leisure
2120,Leisure
2142,Leisure
2172,Leisure
2207,Leisure
2209,Leisure
2226,Leisure
2242,Leisure
2246,Leisure
2250,Leisure
2251,Leisure
2254,Leisure
2257,Leisure
2261,Leisure
2262,Leisure
2264,Leisure
2269,Leisure
2270,Leisure
2271,Leisure
2272,Leisure
2273,Leisure
2275,Leisure
2276,Leisure
2277,Leisure
2281,Leisure
2290,Leisure
2292,Leisure
2299,Leisure
2301,Leisure
2305,Leisure
2308,Leisure
2319,Leisure
2324,Leisure
2328,Leisure
2330,Leisure
2331,Leisure
2336,Leisure
2337,Leisure
2340,Leisure
2341,Leisure
2343,Leisure
2344,Leisure
2360,Leisure
2363,Leisure
2369,Leisure
2371,Leisure
2372,Leisure
2395,Leisure
2400,Leisure
2410,Leisure
2414,Leisure
2415,Leisure
2417,Leisure
2428,Leisure
2430,Leisure
2438,Leisure
2444,Leisure
2445,Leisure
2446,Leisure
2490,Leisure
2558,Leisure
2559,Leisure
2562,Leisure
2567,Leisure
2581,Leisure
2652,Leisure
2671,Leisure
2672,Leisure
2752,Leisure
2779,Leisure
2781,Leisure
2800,Leisure
2829,Leisure
2833,Leisure
2841,Leisure
2845,Leisure
2855,Leisure
2859,Leisure
2861,Leisure
2870,Leisure
2872,Leisure
2873,Leisure
2874,Leisure
2875,Leisure
2903,Leisure
2904,Leisure
2957,Leisure
2963,Leisure
2981,Leisure
2983,Leisure
2994,Leisure
2995,Leisure
3000,Leisure
3004,Leisure
3007,Leisure
3046,Leisure
3049,Leisure
3051,Leisure
3055,Leisure
3077,Leisure
3079,Leisure
3080,Leisure
3096,Leisure
3098,Leisure
3102,Leisure
3107,Leisure
3113,Leisure
3121,Leisure
3123,Leisure
3129,Leisure
3155,Leisure
3156,Leisure
3160,Leisure
3161,Leisure
3162,Leisure
3166,Leisure
3167,Leisure
3172,Leisure
3173,Leisure
3176,Leisure
3177,Leisure
3179,Leisure
3180,Leisure
3182,Leisure
3183,Leisure
3189,Leisure
3226,Leisure
3256,Leisure
3273,Leisure
3274,Leisure
3285,Leisure
3355,Leisure
3364,Leisure
3365,Leisure
3369,Leisure
3399,Leisure
3422,Leisure
3424,Leisure
3425,Leisure
3428,Leisure
3439,Leisure
3448,Leisure
3452,Leisure
3453,Leisure
3454,Leisure
3455,Leisure
3459,Leisure
3460,Leisure
3461,Leisure
3466,Leisure
3470,Leisure
3495,Leisure
3500,Leisure
3516,Leisure
3540,Leisure
3545,Leisure
3568,Leisure
3570,Leisure
3603,Leisure
3604,Leisure
3611,Leisure
3616,Leisure
3621,Leisure
3661,Leisure
3664,Leisure
3672,Leisure
3676,Leisure
3682,Leisure
3709,Leisure
3733,Leisure
3765,Leisure
3766,Leisure
3769,Leisure
3770,Leisure
3774,Leisure
3781,Leisure
3855,Leisure
3897,Leisure
3898,Leisure
3902,Leisure
3906,Leisure
3909,Work
3947,Leisure
3963,Leisure
3971,Leisure
3990,Leisure
3998,Leisure
4011,Leisure
4012,Leisure
4018,Leisure
4032,Leisure
4057,Leisure
4131,Work
4133,Leisure
4134,Leisure
4145,Leisure
4154,Leisure
4186,Leisure
4187,Work
4196,Work
4204,Work
4213,Leisure
4215,Leisure
4223,Leisure
4224,Leisure
4228,Leisure
4229,Leisure
4263,Leisure
4344,Leisure
4380,Leisure
4383,Leisure
4391,Leisure
4397,Leisure
4422,Leisure
4437,Leisure
4445,Leisure
4454,Leisure
4470,Leisure
4474,Leisure
4475,Leisure
4479,Leisure
4488,Leisure
4489,Leisure
4494,Leisure
4559,Leisure
4581,Leisure
4584,Leisure
4586,Leisure
4587,Leisure
4609,Leisure
4610,Leisure
4611,Leisure
4672,Leisure
4677,Leisure
4678,Leisure
4679,Leisure
4685,Leisure
4686,Leisure
4689,Leisure
4751,Leisure
4779,Leisure
4943,Work
4954,Leisure
4973,Leisure
4975,Leisure
4977,Leisure
4982,Leisure
4983,Leisure
4984,Leisure
4985,Leisure
2415077,Leisure
2415091,Leisure
2415096,Leisure
2415097,Leisure
2415110,Leisure
2415114,Leisure
2415121,Leisure
2415124,Leisure
2415127,Leisure
2415147,Leisure
2415150,Leisure
2415157,Leisure
2415168,Leisure
2415171,Leisure
2415176,Leisure
2415183,Leisure
2415186,Leisure
61515,Leisure
61525,Leisure
61534,Leisure
61554,Leisure
61566,Leisure
61580,Leisure
61583,Leisure
61593,Leisure
61598,Leisure
61610,Leisure
107903,Leisure
107905,Leisure
107910,Leisure
107924,Leisure
107927,Leisure
107933,Leisure
107944,Leisure
107952,Leisure
107955,Leisure
107972,Leisure
107975,Leisure
107983,Leisure
150261,Leisure
150268,Leisure
150270,Leisure
150273,Leisure
150275,Leisure
150285,Leisure
150290,Leisure
150294,Leisure
150296,Leisure
150297,Leisure
150311,Leisure
150312,Leisure
150324,Leisure
150326,Leisure
150327,Leisure
150328,Leisure
