image_id,is_corrupted,contains_person,used_people_detector
1,0,1,0
2,0,1,0
3,0,1,0
4,0,0,1
5,0,0,1
6,0,0,1
7,0,1,0
8,0,1,0
9,0,0,1
10,0,1,0
11,0,0,1
12,0,0,1
13,0,0,1
14,0,1,0
15,0,0,1
16,0,1,0
17,0,0,1
18,0,1,0
19,0,0,1
20,0,1,0
21,0,1,0
22,0,0,1
23,0,1,0
24,0,1,0
25,0,1,0
26,0,1,0
27,0,0,1
28,0,0,1
29,0,1,0
30,0,0,1
31,0,0,1
32,0,0,1
33,0,0,1
34,0,0,1
35,0,0,1
36,0,0,1
37,0,1,0
38,0,0,1
39,0,0,1
40,0,1,0
41,0,0,1
42,0,0,1
43,0,1,0
44,0,0,1
45,0,1,0
46,0,1,0
47,0,1,0
48,0,1,0
49,0,1,0
50,0,0,1
51,0,1,1
52,0,0,1
53,0,1,0
54,0,1,0
55,0,1,0
56,0,1,1
57,0,1,0
58,0,1,0
59,0,1,0
60,0,0,1
61,0,1,0
62,0,1,0
63,0,0,1
64,0,1,0
65,0,1,0
66,0,0,1
67,0,0,1
68,0,0,1
69,0,0,1
70,0,1,0
71,0,1,0
72,0,1,0
73,0,1,0
74,0,1,0
75,0,0,1
76,0,0,1
77,0,1,0
78,0,0,1
79,0,0,1
80,0,0,1
81,0,0,1
82,0,0,1
83,0,1,0
84,0,0,1
85,0,0,1
86,0,1,0
87,0,1,0
88,0,0,1
89,0,0,1
90,0,0,1
91,0,0,1
92,0,0,1
93,0,0,1
94,0,0,1
95,0,0,1
96,0,0,1
97,0,0,1
98,0,0,1
99,0,0,1
100,0,0,1
101,0,1,1
102,0,0,1
103,0,0,1
104,0,0,1
105,0,1,0
106,0,1,0
107,0,0,1
108,0,1,0
109,0,1,0
110,0,0,1
111,0,0,1
112,0,0,1
113,0,1,0
114,0,1,0
115,0,1,0
116,0,1,0
117,0,0,1
118,0,0,1
119,0,0,1
120,0,0,1
121,0,0,1
122,0,0,1
123,0,0,1
124,0,0,1
125,0,1,1
126,0,1,0
127,0,1,0
128,0,1,0
129,0,1,0
130,0,0,1
131,0,1,0
132,0,0,1
133,0,1,0
134,0,0,1
135,0,1,0
136,0,1,0
137,0,1,0
138,0,1,0
139,0,0,1
140,0,1,1
141,0,1,0
142,0,1,0
143,0,1,1
144,0,0,1
145,0,1,1
146,0,0,1
147,0,0,1
148,0,1,0
149,0,0,1
150,0,1,0
151,0,1,0
152,0,1,0
153,0,1,0
154,0,1,0
155,0,1,0
156,0,1,0
157,0,1,1
158,0,0,1
159,0,0,1
160,0,1,0
161,0,1,0
162,0,0,1
163,0,0,1
164,0,1,0
165,0,0,1
166,0,0,1
167,0,1,0
168,0,1,0
169,0,0,1
170,0,1,1
171,0,1,0
172,0,1,0
173,0,1,0
174,0,0,1
175,0,0,1
176,0,1,0
177,0,0,1
178,0,1,0
179,0,0,1
180,0,1,0
181,0,0,1
182,0,0,1
183,0,0,1
184,0,0,1
185,0,0,1
186,0,0,1
187,0,0,1
188,0,0,1
189,0,0,1
190,0,0,1
191,0,0,1
192,0,1,0
193,0,0,1
194,0,0,1
195,0,0,1
196,0,0,1
197,0,0,1
198,0,0,1
199,0,0,1
200,0,1,1
201,0,1,0
202,0,1,1
203,0,1,0
204,0,0,1
205,0,0,1
206,0,1,0
207,0,0,1
208,0,1,0
209,0,0,1
210,0,1,0
211,0,0,1
212,0,0,1
213,0,0,1
214,0,0,1
215,0,1,0
216,0,0,1
217,0,0,1
218,0,0,1
219,0,0,1
220,0,1,0
221,0,0,1
222,0,0,1
223,0,0,1
224,0,0,1
225,0,1,0
226,0,0,1
227,0,1,1
228,0,0,1
229,0,1,0
230,0,0,1
231,0,0,1
232,0,0,1
233,0,0,1
234,0,1,0
235,0,1,0
236,0,0,1
237,0,1,0
238,0,0,1
239,0,1,0
240,0,0,1
241,0,0,1
242,0,0,1
243,0,1,0
244,0,0,1
245,0,0,1
246,0,1,0
247,0,0,1
248,0,1,0
249,0,0,1
250,0,0,1
251,0,0,1
252,0,1,0
253,0,0,1
254,0,0,1
255,0,1,0
256,0,1,0
257,0,0,1
258,0,0,1
259,0,0,1
260,0,1,0
261,0,1,1
262,0,1,0
263,0,0,1
264,0,1,0
265,0,0,1
266,0,1,1
267,0,0,1
268,0,1,0
269,0,1,0
270,0,1,0
271,0,1,0
272,0,0,1
273,0,1,0
274,0,1,0
275,0,1,0
276,0,0,1
277,0,1,0
278,0,0,1
279,0,0,1
280,0,1,0
281,0,1,0
282,0,1,0
283,0,1,1
284,0,1,0
285,0,0,1
286,0,1,0
287,0,1,0
288,0,0,1
289,0,0,1
290,0,0,1
291,0,0,1
292,0,1,0
293,0,0,1
294,0,0,1
295,0,0,1
296,0,0,1
297,0,0,1
298,0,0,1
299,0,0,1
300,0,1,1
301,0,0,1
302,0,0,1
303,0,1,0
304,0,1,0
305,0,1,0
306,0,1,1
307,0,0,1
308,0,1,0
309,0,1,0
310,0,0,1
311,0,0,1
312,0,0,1
313,0,0,1
314,0,1,0
315,0,0,1
316,0,0,1
317,0,1,0
318,0,1,1
319,0,1,0
320,0,0,1
321,0,1,0
322,0,1,1
323,0,1,0
324,0,1,0
325,0,1,0
326,0,1,0
327,0,1,0
328,0,0,1
329,0,0,1
