image_id,is_work_ollama
2319112,Not Work
2385092,Work
2406801,Work
2339423,Not Work
2322462,Work
2407413,Work
2361694,Not Work
2330565,Work
2323788,Not Work
2325718,Work
2357524,Work
2326356,Work
2378327,Work
1592600,Work
2330686,Work
2415177,Work
2366188,Not Work
2384384,Work
2351161,Work
2358504,Work
2400530,Work
2379378,Work
2359160,Work
2356451,Not Work
2358552,Work
2375545,Work
2321851,Work
2391706,Work
2402853,Work
2361103,Work
2377491,Not Work
2396984,Work
2324009,Work
2351880,Work
2399568,Work
2327442,Work
2379186,Work
2398971,Work
3632,Not Work
2317811,Work
2336192,Work
2341284,Work
2385133,Work
2385483,Work
2330449,Work
2318504,Not Work
1159836,Work
2406740,Work
2369349,Work
410,Work
2377819,Work
2333620,Work
2351337,Work
2329590,Not Work
2398869,Work
713450,Work
2322183,Work
2348695,Not Work
2348159,Work
2348910,Work
2356659,Work
2405607,Work
2371365,Work
2386215,Work
2367512,Work
2357867,Not Work
2355294,Work
2406969,Work
618,Work
2402949,Work
2331220,Not Work
2844,Work
2377691,Not Work
2410074,Work
2370512,Work
2402101,Work
2369159,Work
2405521,Work
2402350,Work
2392277,Work
2352970,Work
2413712,Work
2367553,Work
2405798,Work
2396623,Work
2331063,Not Work
2394528,Not Work
2384295,Work
2320666,Work
2405207,Work
2353593,Work
2365117,Not Work
2324513,Work
1592562,Work
2400241,Not Work
2367286,Work
2363635,Work
2405556,Work
2366387,Not Work
2395075,Work
2388758,Not Work
2353356,Work
2381708,Work
2398307,Work
2318469,Work
2375648,Work
2345071,Work
2403124,Work
2370880,Work
2404200,Work
2386313,Work
2406028,Work
2402156,Work
2332300,Work
2410904,Not Work
2384822,Work
2401784,Work
1159906,Work
2324988,Work
2384357,Work
2338607,Work
2398216,Work
1792,Work
2335804,Work
2328898,Work
2379185,Work
2364616,Work
2376756,Not Work
2368242,Work
2373897,Work
2352767,Work
2321582,Work
2347583,Work
2390895,Not Work
2340820,Not Work
2329049,Work
2369004,Work
2335280,Work
2417052,Work
2361601,Work
